,g_t,g,g_err,r_t,r,r_err,i_t,i,i_err,z_t,z,z_err,sn,sn_type,redshift
0,-0.7597895576962699,0.3809041666314612,-0.6213662317469983,-0.6043321665014852,-0.058861141265152295,-0.884510538798431,-0.6042933183404595,-0.056294563371606876,-0.8471825267629441,-0.6042285714052911,-0.015525531369677714,-0.7913764930228898,21568715,4,-0.25177342170961414
1,-0.6951980152322935,0.24505773653300578,-0.8021450103444593,-0.540465789710774,-0.08847355967095649,-0.9087894051029343,-0.5404398909367254,-0.1212808656554979,-0.9025303761982068,-0.5404139921626769,-0.058736939457166404,-0.8565999083233593,21568715,4,-0.25177342170961414
2,-0.6043580652755338,0.07977132909230922,-0.8703377484557013,-0.4498200805593312,-0.12315544635957598,-0.9125358929110339,-0.44979418178528274,-0.1889470307777673,-0.9176170844757606,-0.44972943485020844,-0.11918943756978795,-0.885904376521244,21568715,4,-0.25177342170961414
3,-0.5405046378718938,0.00490571431916198,-0.8079565572639211,-0.35932976405217976,-0.141854424197145,-0.9442923786924511,-0.3593038652781312,-0.21637548798234696,-0.9411840910158745,-0.3592391183430569,-0.1655290096031793,-0.8987075923289798,21568715,4,-0.25177342170961414
4,-0.4498589287204511,0.005065291241824532,-0.7692716385363733,-0.2938835620447898,-0.1407660953402432,-0.9446642934255207,-0.29385766327074136,-0.21477277325220645,-0.9273734778356987,-0.2937799669486898,-0.1841642307811171,-0.8889783274184377,21568715,4,-0.25177342170961414
5,-0.3593556628262282,0.10283906571183699,-0.8690253391917361,-0.21693830436229544,-0.12192638333301775,-0.9270633117950762,-0.21691240558824687,-0.2006872893530519,-0.9013002855454081,-0.21683470926610116,-0.18829413754643887,-0.8754124449550842,21568715,4,-0.25177342170961414
6,-0.2939094608188384,0.1698584190236061,-0.8413797289402133,-0.08889476549238462,-0.06183450715695937,-0.9198710101938504,-0.08886886671833594,-0.16547195492691236,-0.9172134070485694,-0.08883001855721606,-0.16159843701725451,-0.8882426732392938,21568715,4,-0.25177342170961414
7,-0.2169642031363439,0.24422756759279496,-0.7716875545655925,-0.06273700370862978,-0.047878147609632715,-0.9200239172788925,-0.0627111049345811,-0.15560209950344983,-0.9205159118856721,-0.06264635799950702,-0.15213138445210383,-0.8895483106018709,21568715,4,-0.25177342170961414
8,-0.06277585186974965,0.4302615227973934,-0.6718399892820348,0.015179458000543766,-0.0076357963483923985,-0.9062863124466356,0.015205356774592671,-0.12107623610167706,-0.893006226233395,0.015283053096738053,-0.11943455699329297,-0.8758571968061238,21568715,4,-0.25177342170961414
9,0.015153559226495528,0.49505640797489003,-0.6566847390349374,0.11930547904147515,0.04279897917507469,-0.9011845694947661,0.11933137781552361,-0.07169801021113997,-0.9077791895897314,0.11939612475059791,-0.06509971752122923,-0.8692460515330244,21568715,4,-0.25177342170961414
10,0.11926663088044953,0.5574574872151286,-0.4925515926888715,0.18306826073599236,0.07430151795438933,-0.8466372237486604,0.18309415951004082,-0.03944262336661364,-0.8607910099552302,0.1831330076711608,-0.023958946795788916,-0.8054290090710658,21568715,4,-0.25177342170961414
11,-0.5495840903175164,0.358839792293401,-0.5151895111842761,-0.5760723870379438,0.3370996842438101,-0.4057582216119038,-0.6522278435168543,0.6470854383946723,0.38186429640743125,-0.8696114582967969,0.5462186319897395,-0.13881140360134858,21840129,4,-0.14232141713935198
12,-0.5375264637232136,0.348848080809373,-0.5799784451933564,-0.5495584357928425,0.22908568337277013,-0.6617651667610684,-0.5506615803536332,0.19388155256672257,-0.7012890188074486,-0.6515095168261719,0.6893193527884325,0.18395479284710747,21840129,4,-0.14232141713935198
13,-0.4607296441276426,0.3090126721433728,-0.7137214559407175,-0.4863072052222869,-0.003799136049062346,-0.8296712526634462,-0.5495327812681686,0.18928103790240614,-0.7048206928585554,-0.5503665533199301,0.30278768169193904,-0.6721977747492122,21840129,4,-0.14232141713935198
14,-0.4605244079302514,0.3090214790842385,-0.7134063777765055,-0.46070398960296866,-0.055323916997072176,-0.8688071702913407,-0.47360821551123,-0.030710613747041093,-0.8322601638952285,-0.5494686449565305,0.2982693353967294,-0.6748628135907366,21840129,4,-0.14232141713935198
15,-0.4091383950188978,0.3361498595837282,-0.539380570437338,-0.43499815588495494,-0.07298881872839635,-0.8225880693217192,-0.4606783350782947,-0.04179100204519748,-0.8491024013796699,-0.47326187942827247,-0.016713417306054246,-0.8485418302067489,21840129,4,-0.14232141713935198
16,-0.40888184977225217,0.33639397882731714,-0.5383092484241943,-0.4088561952475783,-0.05641211584775796,-0.7376468234226993,-0.42220937533758607,-0.04720037287798684,-0.7889562647065792,-0.46063985329123736,-0.031629679190687376,-0.8587510952269143,21840129,4,-0.14232141713935198
17,-0.2679615457672132,0.5519927690691975,-0.15778038748578338,-0.2806990172652343,0.25726640106105747,-0.6586513781060837,-0.4088305407229045,-0.036216513349146884,-0.7471647510026106,-0.4087920589358469,0.002352697078761734,-0.7708110010534499,21840129,4,-0.14232141713935198
18,-0.1785170455099332,0.6903034736620246,0.018991057378960896,-0.2676793459958937,0.28129285187201103,-0.6610764721116233,-0.2803911629692408,0.2504353244744679,-0.5693147906892002,-0.38322732510358615,0.018259098138535323,-0.7924731478904687,21840129,4,-0.14232141713935198
19,-0.14018918565497762,0.7420016974289536,0.2108099928599616,-0.1915238895169834,0.3326470105914925,-0.414696172206959,-0.26764086420883626,0.2837462708748242,-0.5197159302841724,-0.2676152096842557,0.16234073791153536,-0.42760447961331616,21840129,4,-0.14232141713935198
20,-0.6443307668695022,0.19934840305333767,-0.7683294568203703,-0.9278500738873661,0.9094088964661038,1.0,-0.6442830744842757,0.15312827573049215,-0.7168058270755837,-0.6442473051953992,0.1596334107583075,-0.6282250872814685,18617969,4,0.7377716516297987
21,-0.5709679553097098,-0.1844852340970885,-0.8626523401651612,-0.644306920676889,0.16288586056765952,-0.7975683878403688,-0.5709202629244832,-0.23351403876691568,-0.8837553799106007,-0.57088449363552,-0.2519671670135104,-0.8561044926122758,18617969,4,0.7377716516297987
22,-0.47756241886248907,-0.14226236268763415,-0.6710112966653068,-0.47753857266987576,-0.4183639402797962,-0.90973880717814,-0.47751472647726256,-0.44996370953857934,-0.926634207825881,-0.47747895718838607,-0.4562944761298807,-0.9235861735192215,18617969,4,0.7377716516297987
